name|to|from
Afghanistan|http://aims.fao.org/aos/geopolitical.owl#Afghanistan|http://dbpedia.org/resource/Afghanistan
Albania|http://aims.fao.org/aos/geopolitical.owl#Albania|http://dbpedia.org/resource/Albania
Algeria|http://aims.fao.org/aos/geopolitical.owl#Algeria|http://dbpedia.org/resource/Algeria
Andorra|http://aims.fao.org/aos/geopolitical.owl#Andorra|http://dbpedia.org/resource/Andorra
Angola|http://aims.fao.org/aos/geopolitical.owl#Angola|http://dbpedia.org/resource/Angola
Argentina|http://aims.fao.org/aos/geopolitical.owl#Argentina|http://dbpedia.org/resource/Argentina
Armenia|http://aims.fao.org/aos/geopolitical.owl#Armenia|http://dbpedia.org/resource/Armenia
Australia|http://aims.fao.org/aos/geopolitical.owl#Australia|http://dbpedia.org/resource/Australia
Austria|http://aims.fao.org/aos/geopolitical.owl#Austria|http://dbpedia.org/resource/Austria
Azerbaijan|http://aims.fao.org/aos/geopolitical.owl#Azerbaijan|http://dbpedia.org/resource/Azerbaijan
Bahrain|http://aims.fao.org/aos/geopolitical.owl#Bahrain|http://dbpedia.org/resource/Bahrain
Bangladesh|http://aims.fao.org/aos/geopolitical.owl#Bangladesh|http://dbpedia.org/resource/Bangladesh
Barbados|http://aims.fao.org/aos/geopolitical.owl#Barbados|http://dbpedia.org/resource/Barbados
Belarus|http://aims.fao.org/aos/geopolitical.owl#Belarus|http://dbpedia.org/resource/Belarus
Belgium|http://aims.fao.org/aos/geopolitical.owl#Belgium|http://dbpedia.org/resource/Belgium
Belize|http://aims.fao.org/aos/geopolitical.owl#Belize|http://dbpedia.org/resource/Belize
Benin|http://aims.fao.org/aos/geopolitical.owl#Benin|http://dbpedia.org/resource/Benin
Bhutan|http://aims.fao.org/aos/geopolitical.owl#Bhutan|http://dbpedia.org/resource/Bhutan
Bolivia (Plurinational State of)|http://aims.fao.org/aos/geopolitical.owl#Bolivia|http://dbpedia.org/resource/Bolivia
Bosnia and Herzegovina|http://aims.fao.org/aos/geopolitical.owl#Bosnia_and_Herzegovina|http://dbpedia.org/resource/Bosnia_and_Herzegovina
Botswana|http://aims.fao.org/aos/geopolitical.owl#Botswana|http://dbpedia.org/resource/Botswana
Brazil|http://aims.fao.org/aos/geopolitical.owl#Brazil|http://dbpedia.org/resource/Brazil
Brunei Darussalam|http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam|http://dbpedia.org/resource/Brunei
Bulgaria|http://aims.fao.org/aos/geopolitical.owl#Bulgaria|http://dbpedia.org/resource/Bulgaria
